№ з/п,Назва судна,Порт призначення,Дата підтвердження готовності судна до інспекції та завантаження на Одеський КЦ,Зареєстровано ООН,Зареєстровано Україна,Зареєстрована Туреччина,Зареєстровано рф,Примітка
1.0,DENSA PELICAN,Chornomorsk,30.04.2023,+,+,+,-,"Не авторизовано, зміна порту навантаження з п. Південний"
2.0,VILLA DESTE,Chornomorsk,01.05.2023,+,+,+,-,Не авторизовано
3.0,GREEN K MAX 2,Odesa,10.05.2023,+,+,+,-,"Не авторизовано, зміна порту навантаження з п. Південний"
4.0,AT 27,Chornomorsk,11.05.2023,+,+,+,-,Не авторизовано
5.0,ALEXIS,Chornomorsk,18.05.2023,+,+,+,-,Не авторизовано
6.0,SANTA MARIA,Chornomorsk,19.05.2023,+,+,+,-,Не авторизовано
7.0,GLORIA M,Chornomorsk,20.05.2023,+,+,+,-,Не авторизовано
8.0,MINOAN SKY,Chornomorsk,20.05.2023,+,+,+,-,Не авторизовано
9.0,HONORINE,Odesa,21.05.2023,+,+,+,-,Не авторизовано
10.0,AL SAAD,Odesa,21.05.2023,+,+,+,-,Не авторизовано
11.0,ELIAS,Chornomorsk,23.05.2023,+,+,+,-,Не авторизовано
12.0,KIRAN ADRIATIC,Chornomorsk,24.05.2023,+,+,+,-,Не авторизовано
13.0,YASA TEAM,Chornomorsk,24.05.2023,+,+,+,-,Не авторизовано
14.0,HENG AN YANG,Odesa,26.05.2023,+,+,+,-,Не авторизовано
15.0,SEAJOY,Chornomorsk,27.05.2023,+,+,+,-,Не авторизовано
16.0,LOLO GATE,Chornomorsk,27.05.2023,+,+,+,-,Не авторизовано
17.0,ASTER OCEAN,Chornomorsk,27.05.2023,+,+,+,-,Не авторизовано
18.0,EIDER S,Odesa,30.05.2023,+,+,+,-,Не авторизовано
19.0,MINOAN GRACE,Chornomorsk,30.05.2023,+,+,+,-,Не авторизовано
20.0,YASSIN BEY,Odesa,31.05.2023,+,+,+,-,Не авторизовано
21.0,ARGO I,Odesa,31.05.2023,+,+,+,-,Не авторизовано
22.0,GEORGIA T,Chornomorsk,31.05.2023,+,+,+,-,Не авторизовано
23.0,T PRIME,Odesa,02.06.2023,+,+,+,-,Не авторизовано
24.0,IASOS,Chornomorsk,02.06.2023,+,+,+,-,"Не авторизовано, зміна порту навантаження з п. Одеса"
25.0,MYTHOS,Chornomorsk,02.06.2023,+,+,+,-,Не авторизовано
26.0,SHEN YU 79,Chornomorsk,02.06.2023,+,+,+,-,Не авторизовано
27.0,ENEIDA,Chornomorsk,03.06.2023,+,+,+,-,Не авторизовано
28.0,ATHANASIA C,Chornomorsk,03.06.2023,+,+,+,-,Не авторизовано
29.0,LAUSANNE,Odesa,04.06.2023,+,+,+,-,Не авторизовано
,"У разі нереєстраціі судна однією із сторін СКЦ, наступного дня судно пропонується для реєстрації повторно",,,,,,,
,,,,,,,,
